The woman was admitted to the hospital on Saturday after complaining of severe joint pains.	severe joint pains	complaining of
to-29	slapped-21	-prep
Bill_Frist male native  Not with the previous Democratic leader or or the current Democratic leader have ever I been slapped in the face with such an affront to the leadership of this grand institution /.	affront	slapped in the face
affront-28	face-24	-pobj-prep
Bill_Frist male native  Not with the previous Democratic leader or or the current Democratic leader have ever I been slapped in the face with such an affront to the leadership of this grand institution /.	an affront to the leadership of this grand institution	affront
an-27	affront-28	-det
Bill_Frist male native  Not with the previous Democratic leader or or the current Democratic leader have ever I been slapped in the face with such an affront to the leadership of this grand institution /.	affront	affront
affront-28	affront-28	-predet-predet
Bill_Frist male native  Not with the previous Democratic leader or or the current Democratic leader have ever I been slapped in the face with such an affront to the leadership of this grand institution /.	institution	grand
institution-35	grand-34	-amod
Ed_Henry male native  A Democratic sneak attack that sent shock waves through the Senate /.	Democratic	sneak attack
Democratic-6	attack-8	-amod
Harry_Reed male native  We have lost over two thousand of our best and bravest /.	lost over two thousand of our best and bravest 	lost over two thousand of our best and bravest
over-8	lost-7	-prep
Harry_Reed male native  We have lost over two thousand of our best and bravest /.	over two thousand	our best and bravest
thousand-10	best-13	-prep-pobj
speaker20 male native  President I second the motion /.	the motion	second
the-8	second-7	-det-advmod
I demand on behalf of the American people that we understand why these investigations aren't being conducted /.	that we understand why these investigations aren't being conducted	demand
understand-11	demand-2	-ccomp
I demand on behalf of the American people that we understand why these investigations aren't being conducted /.	that we understand why these investigations aren't being conducted	on behalf of the American people
understand-11	on-3	-ccomp-prep
Bill_Frist male native  There has been at least consideration for the other side of the aisle before a stunt /.	the other side of the aisle	consideration
side-14	consideration-10	-pobj-prep
Ed_Henry male native  Democrats say they also want to signal they're ready to stand up to the Republican majority and may even filibuster the president's latest Supreme Court pick Samuel Alito a move that would make these events seem like the opening fireworks in a much nastier battle /.	to signal they're ready to stand up to the Republican majority and may even filibuster the president's latest Supreme Court pick Samuel Alito	want
signal-11	want-9	-xcomp
Ed_Henry male native  Reed refused to back down demanding the Republican led intelligence committee finish a long awaited report on whether the Bush administration twisted intelligence /.	the Republican led intelligence committee finish a long awaited report on whether the Bush administration twisted intelligence	demanding
led-13	demanding-10	-ccomp
Ed_Henry male native  What's really going on is Democrats feel emboldened by the indictment of Vice President Cheney's former chief of staff believing this is their chance to issue a broader indictment of the Bush administration /.	the Bush administration	broader indictment
the-35	indictment-33	-det-pobj-prep
Ed_Henry male native  Democratic leader Harry Reed accused Republicans of failing to probe allegations the White House manipulated intelligence to justify the war in Iraq /.	the war in Iraq	justify
war-24	justify-22	-dobj
Ed_Henry male native  Democratic leader Harry Reed accused Republicans of failing to probe allegations the White House manipulated intelligence to justify the war in Iraq /.	failing to probe allegations the White House manipulated intelligence to justify the war in Iraq	accused
failing-12	accused-9	-pcomp-prep-dobj
Ed_Henry male native  Democratic leader Harry Reed accused Republicans of failing to probe allegations the White House manipulated intelligence to justify the war in Iraq /.	Republicans	accused
Republicans-10	accused-9	-dobj
Ed_Henry male native  Democratic leader Harry Reed accused Republicans of failing to probe allegations the White House manipulated intelligence to justify the war in Iraq /.	Republicans	failing to probe allegations
Republicans-10	failing-12	-prep-pcomp
Ed_Henry male native  Democratic leader Harry Reed accused Republicans of failing to probe allegations the White House manipulated intelligence to justify the war in Iraq /.	the White House manipulated intelligence to justify the war in Iraq	allegations
intelligence-20	allegations-15	-dobj-prep-pobj
Ed_Henry male native  Democratic leader Harry Reed accused Republicans of failing to probe allegations the White House manipulated intelligence to justify the war in Iraq /.	the White House	manipulated
the-16	manipulated-19	-det-nn
That's the real slap in the face /.	That	the real slap in the face
That's-1	slap-4	-dep
and this is a pure stunt /.	this	this is a pure stunt
this-2	this-2	-cc-cc
and this is a pure stunt /.	this	a pure stunt
this-2	a-4	-rcmod-det
over fifteen thousand have been seriously wounded /.	seriously wounded	seriously wounded
wounded-7	seriously-6	-advmod
We are spending more than six million dollars a month with no end in sight /.	spending more than six million dollars a month	spending more than six million dollars a month
dollars-8	spending-3	-dobj
We are spending more than six million dollars a month with no end in sight /.	spending more than six million dollars a month	no end in sight
spending-3	end-13	-prep-pobj
unfortunately, those same charitable organizations, those same charity committees that funnel the funds to needier palestinians, also serve to support terrorist attacks.	serve to support terrorist attacks	unfortunately, those same charitable organizations, those same charity committees that funnel the funds to needier palestinians
serve-18	funnel-11	-dep
he is not telling them to disband and regulate their weapons, so i have no faith in the ability of abu mazen to put terror aside.	in the ability of abu mazen to put terror aside	have no faith
in-17	have-14	-prep
hamas cares about the person on the street and it does deliver.	about the person on the street	cares
about-3	cares-2	-prep
DID A LOT OF TRAVELING AND THEY (OILSTATES) MADE ME A SWEET OFFER TO COME BACK.	ME	MADE ME A SWEET OFFER
ME-10	MADE-9	-nn-nn
I am waiting to hear back from Patti on May and June to make sure they are okay with her.	they	are okay with
they-16	okay-18	-nsubj
Do you want me to pay Pasadena on Friday for these months or do you want me to hold off until I finish July and August?	me to hold off until I finish July and August	want
me-17	want-3	-dobj-ccomp-conj-xcomp
Politically, the 1990s have been relatively quite times for         the islands, although the divorce of Greek prime minister Andreas         Papandreou and his subsequent marriage to a much younger woman caused         consternation within conservative Greek society.	divorce of Greek prime minister Andreas         Papandreou and his subsequent marriage to a much younger woman	caused         consternation
woman-45	caused-46	-vmod
Homer wrote his epic works on Chios;         and lyrical poetry was much admired, particularly the work of the poets         Archilochos on Paros and Sappho on Lesvos.	lyrical poetry	was much admired
poetry-18	admired,-21	-conj-pobj-prep-nsubj
Whether         this will ever happen remains to be seen, but perhaps the aid offered         by Greece to Turkey after 1999' s devastating earthquake is a sign that         the animosity between these two traditional enemies is beginning to         diminish.	these two traditional enemies	animosity
enemies-58	animosity-53	-pobj-prep
The expansion of air travel began the age of mass tourism, and Greece         along with the Aegean Islands became exciting destinations for northern         Europeans escaping their damp, cool summers.	Greece         along with the Aegean Islands	exciting destinations
along-22	destinations-29	-advmod-ccomp-nsubj
The Venetians fortified their main towns  --  Naxos Town and         Antiparos Town are wonderful examples of this  --  creating labyrinths of         narrow alleys and cul-de-sacs that were designed to confuse and to         demoralize invaders.	labyrinths of         narrow alleys and cul-de-sacs	demoralize
labyrinths-32	demoralize-61	-dobj-conj-pobj-amod
In 1923, Turkey broke away from the tired Ottoman rulers,         and Kemal Ataturk rose to power on a wave of popular support.	Kemal Ataturk	wave of popular support
Ataturk-21	wave-27	-conj-nsubj-prep-pobj
But the country was politically         fragmented, with arguments between monarchists and republicans, right         and left, and tension escalated into civil war.	politically	fragmented
politically-5	fragmented,-14	-advmod-ccomp
He         promised a modern state for his people, but as the situation became         volatile, civil strife broke out in Turkish cities, and those         considered Greek were victims of threats and violence.	civil	strife
civil-31	strife-32	-amod
Greece moved in to administer the land,         but a new influence upset any grand dreams of making this region a part         of greater Greece.	making this region a part         of greater Greece	.
Greece.-40	greater-39	-amod
From a power         base in Anatolia, the Persians overran the eastern Aegean Islands and         set their sights on the Cyclades.	the Cyclades	set their sights
Cyclades.-36	set-31	-pobj-prep
Several islands and Greek city-states agreed to work together, and         created a treasury to fund their plans, which was held on the island of         Delos.	to work together	agreed
work-8	agreed-6	-xcomp
The Persians were defeated, and Athens duly         punished the islands that had turned against it.	it	turned against
it.-23	against-22	-pobj
The Persians were defeated, and Athens duly         punished the islands that had turned against it.	the islands that had turned against it	duly         punished
islands-18	punished-16	-dobj
Weizmann was an important figure in the negotiations with the British         government that led to the Balfour Declaration of 1917, supporting the         idea of a Jewish  ``national home''  in Palestine that also respected the         rights of existing non-Jewish people already living there.	the         idea of a Jewish  ``national home''  in Palestine that also respected the         rights of existing non-Jewish people already living there	supporting
idea-39	supporting-29	-dobj
Weizmann was an important figure in the negotiations with the British         government that led to the Balfour Declaration of 1917, supporting the         idea of a Jewish  ``national home''  in Palestine that also respected the         rights of existing non-Jewish people already living there.	the         rights of existing non-Jewish people already living there	respected
-59	respected-51	-ccomp
The city         was now under the more tolerant rule of the Persians, but rebuilding         was slow work.	The city	tolerant
city-2	tolerant-16	-ccomp-prep-pobj-amod
Political         and religious boundaries were aggravated by occasional incidents of         terrorism or sniping until the Six Day War in June 1967.	occasional incidents of         terrorism or sniping	aggravated by
or-28	aggravated-14	-cc
Today, as always, Jerusalem is a city of controversies:         religious Jews in conflict with secular Jews; Palestinians calling for         independence; many residents protesting a wave of high-rise development         that many claim will turn the Holy City into a holy megalopolis.	a wave of high-rise development	protesting
wave-41	protesting-39	-dobj
Today, as always, Jerusalem is a city of controversies:         religious Jews in conflict with secular Jews; Palestinians calling for         independence; many residents protesting a wave of high-rise development         that many claim will turn the Holy City into a holy megalopolis.	independence	calling for
independence;-36	for-27	-nn-pobj
Today, as always, Jerusalem is a city of controversies:         religious Jews in conflict with secular Jews; Palestinians calling for         independence; many residents protesting a wave of high-rise development         that many claim will turn the Holy City into a holy megalopolis.	secular Jews	in conflict with
secular-23	with-22	-nn-pobj
Today, as always, Jerusalem is a city of controversies:         religious Jews in conflict with secular Jews; Palestinians calling for         independence; many residents protesting a wave of high-rise development         that many claim will turn the Holy City into a holy megalopolis.	religious Jews	in conflict with
Jews-19	in-20	-prep
The Temple and         royal palace were adorned with gold and ivory from Africa and with         cedar from Lebanon; the beauties and glories of Jerusalem under Solomon         have captivated readers of the Bible for almost 3,000 years.	the beauties and glories of Jerusalem under Solomon	captivated
under-41	captivated-52	-pobj-rcmod
At the same time, many Jews sought religious freedom and         fulfillment by moving to Palestine (as the Holy Land was traditionally         called) and especially to Jerusalem.	religious freedom	sought
freedom-9	sought-7	-dobj
The Holy City remained a backwater until the 19th         century, when renewed interest among Christian pilgrims made it the         destination of thousands of travelers each year.	The Holy City	renewed interest
City-3	interest-21	-nsubj-advcl-nsubj
In the 1890s, Theodor Herzl         (1860 -- 1904) worked to organize a movement, Zionism, to create a Jewish         state.	to create a Jewish         state	a movement, Zionism, to create a Jewish         state
create-24	to-23	-aux
But         the ideas and mystique that have always made this an extraordinarily         special place rise above the ebbing and flowing concerns of present-day         Jerusalem as it continues to tug at the world' s attention into the new         millennium.	the ideas and mystique that have always made this an extraordinarily         special place	the ideas and mystique that have always made this an extraordinarily         special place rise above the ebbing and flowing concerns of present-day         Jerusalem as it continues to tug at the world' s attention into the new         millennium
ideas-11	the-10	-det
But         the ideas and mystique that have always made this an extraordinarily         special place rise above the ebbing and flowing concerns of present-day         Jerusalem as it continues to tug at the world' s attention into the new         millennium.	this	an extraordinarily         special place
this-18	place-30	-det-nn
In about a.d. 30 he and his         followers went for Passover to Jerusalem, which was in unrest at this         time, dissatisfied with Roman domination.	Roman domination	dissatisfied with
domination.-40	with-38	-pobj
In the Bible, Genesis 14:18 -- 20 records that Abraham visited         the city of  ``Salem''  in approximately 1800 b.c. and was blessed by the         city' s ruler, Melchzedik, who offered him bread and wine.	Abraham	blessed
Abraham-10	blessed-32	-nsubj-ccomp-conj
But         Arab opposition to new Jewish immigration and construction in Palestine         led to increasing strife; by 1946, Jerusalem was an armed camp.	new Jewish immigration and construction in Palestine	opposition
in-18	opposition-11	-prep-dobj
In 1099, under their leaders Godfrey de Bouillon and         Tancred, the Crusaders captured the Holy City for Christendom by         slaughtering both Muslims and Jews.	the Crusaders	slaughtering
Crusaders-20	slaughtering-36	-nsubj-prep-pcomp
The site of the Temple eventually became identified as Mt.         Moriah, on which it stood, where Abraham was called to sacrifice his         son Isaac.	to sacrifice his         son Isaac	called
sacrifice-29	called-27	-xcomp
The problem         was that British strategists, who were fighting the Ottoman Turks in         1917, had secretly promised the lands to their World War I Arab         allies.	British strategists, who were fighting the Ottoman Turks in         1917, had secretly promised the lands to their World War I Arab         allies	problem
promised-33	problem-2	-ccomp-ccomp-nsubj
The Bible         tells us that the cruelty and impiety of the rulers of both kingdoms         aroused the fury of the great Prophets.	the cruelty and impiety of the rulers of both kingdoms	fury
cruelty-15	fury-34	-nsubj-dobj
Under the wise reign of Solomon, the city flourished as         the capital of an empire that stretched from Damascus to the Red Sea         and controlled the trade routes from Egypt to Phoenicia.	reign of Solomon	wise
reign-4	wise-3	-amod
A massive         fortress was built overlooking the Temple Mount, which Herod named          ``Antonia''  in honor of his Roman friend and benefactor, Mark Antony.	his Roman friend and benefactor, Mark Antony	in honor of
friend-37	of-34	-pobj
For all his accomplishments, Herod was nevertheless hated         by his subjects; he taxed, he tortured, and he ordered the massacre of         male Jewish infants in an attempt to do away with the heralded Messiah.	Herod	hated
Herod-5	hated-8	-nsubj-amod
- We should make the public and the ignorant know clearly about our policy fighting     the renegades, so they won't side with them for their fight against the Mujahidi	h th	y won't side wi
side-25	won't-24	-dobj
- Differenciate between targets in the Islamic Party, or the Ba'ath Party, who proved     their failur to people in running the nation, and Sheiks and leaders of the tribes where     most people especially in villages love and respect them, the first kind's reaction is     lefting signs and comdemning, the second kind blames, and sometime opens a front     against u	t th	s love and respe
and-45	love-44	-cc
    And we went to Open Kitchen and we would have eight or 10 girls and we would order one pizza and all share it and everyone would only get one piece and I think we would make the waitresses mad because we didn't have money to leave t	in	 we would make the waitresses
think-38	I-37	-nsubj
    And it was really beautiful and I really, really wanted 	ted	d I really, really wa
wanted-14	I-11	-nsubj
    And the way we decided who got to wear it first, and this always kind of bothered me because I know Kathy did this intentionally, she said the youngest one got to wear it first and she was like six months younger than I	and 	his always kind of both
this-17	bothered-21	-nsubj
    And one other form of refreshment that we got, which really embarrassed my mother because she didn't know anything about this until she went with us to the movie one Saturday, there was a bakery next door to the movie thea	ot, w	ich really embarra
we-12	got,-13	-nsubj
    We would go into the bakery and we would ask for-                                                                       -a nickel worth of scr	   -a nickel worth of sc	uld ask
scr-90	we-12	-dep
    No, I love this st	ove this s	, I 
love-7	No,-5	-rcmod
Mostly, I liked to spend time reading encyclopedias--	to spend time reading encyclopedias	liked
spend-5	liked-3	-xcomp
You like to read encyclopedias.	to read encyclopedias	like
read-4	like-2	-xcomp
Um, I think my favorite was like, "Little Red Riding Hood;" I loved that book.	that book	loved
book.-15	loved-13	-dobj
She likes the pictures that pop out at you.	the pictures that pop out at you	likes
pictures-4	likes-2	-dobj
Would he scare you?	he	scare
he-2	scare-3	-nsubj
Can you think of a story that they told you that you liked for them to read over and over?	a story that they told you that you liked for them to read over and over	a story that they told you that you liked for them to read over and over
story-6	a-5	-det
Do you remember any that were maybe a real favorite of yours?	any	were maybe a real favorite of yours
any-4	favorite-10	-rcmod
Mm, I kind of liked them all.	them all	kind of liked
all.-7	liked-5	-ccomp
So we, at a certain time, we were scared to go over there because we'd always go outside and look at the house across the street.	go over there	were scared to
go-11	scared-9	-xcomp
What kind of books were your favorites?	What kind of books	were your favorites
kind-2	were-5	-dep
Is there anything else you'd like to say about this, that comes to your mind?	say about this	like
say-8	like-6	-xcomp-prep
That's pretty much all I need to know, about how you liked reading and things when you were little.	reading and things	liked
reading-13	liked-12	-dobj
She likes for me to read them to her.	me to read them to her	likes
read-6	likes-2	-advcl
She likes the pop-out books.	the pop-out books	likes
books.-5	likes-2	-dobj
Do you like to read to them?	to read to them	like
read-5	like-3	-xcomp
Naturally, I start crying, and one of my main ways of getting out of work was always saying something hurt me, either my stomach, or that I had a headache, or something was wrong with my leg.	my leg	something was wrong with
leg.-37	with-35	-pobj
Naturally, I start crying, and one of my main ways of getting out of work was always saying something hurt me, either my stomach, or that I had a headache, or something was wrong with my leg.	something	hurt
something-19	hurt-20	-nn-nn
But he told me to go ahead and try it, so I took the entrance test, and they accepted me into at the school, and I took some courses there.	go ahead and try it	told
go-6	told-3	-xcomp
It's always been my dream that my children all go to school.	that my children all go to school	It's always been my dream
go-10	dream-5	-ccomp
That was my dream, to teach school.	to teach school	That was my dream
teach-6	dream,-4	-vmod
I didn't particularly want to come here and when I came here everybody noticed that I was really, really sad because I loved being at Enderly Park.	being at Enderly Park	loved
being-24	loved-23	-xcomp
I didn't particularly want to come here and when I came here everybody noticed that I was really, really sad because I loved being at Enderly Park.	come here	didn't particularly want
come-6	want-4	-xcomp
And he asked me to be a teacher assistant the next following year.	to be a teacher assistant	asked
assistant-9	asked-3	-xcomp
And he told me I would have to write this paper.	write this paper	told me I would have to
write-9	I-5	-nsubj
I enjoy my job very much.	my job	enjoy my job very much
job-4	my-3	-poss
And I enjoy what I do.	what I do	enjoy
do.-6	enjoy-3	-ccomp
So that night I went home and I asked my mother about it and she said, "Baby, I really want you to go to college.	about it	asked
about-12	asked-9	-prep
So that night I went home and I asked my mother about it and she said, "Baby, I really want you to go to college.	you to go to college	really want
you-21	want-20	-dobj
I don't, just so I can work in the school I'll be happy.	work in the school	just so I can work in the school I'll be happy
work-7	just-3	-advmod
So one night my mother asked me to go inside and wash the dishes.	me to go inside and wash the dishes	asked
me-7	asked-6	-dobj
Out of 150 assistants who had applied for this grant only 16 got the opportunity, so I felt very proud of myself.	myself	felt very proud
myself.-22	felt-18	-pobj-prep
And the mother asked the little girl to please go in and wash the dishes so that she could go to bed early and not come up, wake up in the morning and see all those dishes on the table.	go in and wash the dishes	asked the little girl to please go in and wash the dishes so that
go-10	please-9	-ccomp
After a while, the principal said, "I would like for you to bring me your, um, transcript so I can see what your grades are like.	you to bring me your, um, transcript	would like
bring-13	like-9	-advcl
Now that knife, when I went to sleep it really scared me.	it	really scared
it-9	scared-11	-nsubj
Um, I remember once, when I was working in a mill, and I was spinning yarn, and I was saying to myself, and, I was praying actually, and I said, "God, one day I want to work in the school system.	work in the school system	want to
work-37	want-35	-xcomp
If I'm not mistaken I think I've been at Berryhill for I think 17 years, 17, 18 years I've been here at Berryhill so and I hope I never have to leave until I retire.	I never have to leave until I retire	hope
have-30	hope-27	-ccomp
And I went to, um, one of my staff members and I asked her if she would proofread it, and she thought it was an excellent paper.	she would proofread it	asked
proofread-18	asked-13	-advcl
And I went to, um, one of my staff members and I asked her if she would proofread it, and she thought it was an excellent paper.	it	thought it was an excellent paper
it,-19	thought-22	-dobj-conj
So I worked maybe like four months in the classroom and that highly put a damper on my wanting          to be a teacher from all the responsibility along with the fact that I was taking care of a very sick husband.	to be a teacher	highly put a damper on my wanting
teacher-32	on-17	-vmod-pobj
So I had to, I was offered a job at Ashley Park or Berryhill and I chose Berryhill.	Berryhill	chose
Berryhill-14	chose-17	-conj-pobj-prep-conj
My leg hurts, my head hurts.	my head	hurts
my-4	hurts,-3	-poss-dep
My leg hurts, my head hurts.	My leg	hurts
My-1	hurts,-3	-poss
Well I didn't like writing at the time          but I took it upon myself to go ahead and write a paper.	writing	didn't like
writing-5	like-4	-pcomp
And her little girl just complained, "I don't want to wash the dishes.	wash the dishes	don't want to
wash-11	don't-8	-nsubj
And her little girl just complained, "I don't want to wash the dishes.	wash the dishes	don't want to
wash-11	don't-8	-nsubj
We did not have very much but my mom always found a way to keep us busy or keep us entertained, and one of the ways that she kept us entertained was by telling stories, reading poems, and singing to us.	telling stories, reading poems, and singing to us	entertained
telling-34	entertained,-21	-pcomp-prep-conj-conj-dobj-vmod-conj-xcomp
But then, after awhile, I fell in love with Berryhill.	Berryhill	fell in love
Berryhill.-10	fell-6	-pobj-prep
The little girl disappointed her mother so badly, but her mother said, "How in the world am I ever going to get her to wash these dishes?	The little girl	disappointed her mother so badly
girl-3	disappointed-4	-vmod
All my life I always wanted to be a teacher even from the time I started to school.	be a teacher	All my life I always wanted to be a teacher even from the time I started to school
teacher-10	I-4	-nsubj
But I love what I do and, uh, anytime I get a chance to teach in a classroom I go for it so.	what I do	love
do-6	love-3	-ccomp
But I love what I do and, uh, anytime I get a chance to teach in a classroom I go for it so.	it	go for
it-22	go-20	-nsubj-advcl
My husband became very ill with cancer and I had to make a decision as to whether I would continue my education or take care of him and I felt like I needed to take care of him because he stood by me so much while I was going to school.	me	by me so much
became-3	by-42	-advcl-prep
After all of this was, after I, I decided not to continue I've never pursued the fact of going back to school.	to continue	decided not
continue-12	decided-9	-xcomp
And although I never met my grandfather, I have never forgotten that story and when I hear of him I think what a wonderful, wonderful person he must have been.	he	what a wonderful, wonderful person he must have been
grandfather,-7	have-29	-dobj-conj-ccomp
There was no money to buy any presents at all, um, for the children, and my grandfather, who was killed when my mother was 16, this was, of course, way before that, um, he must have been a very positive person because what he did with the situation was he, he told the children that there were no presents this Christmas because they had given them all to Santa to take the poor children and this made the children feel happy and proud of themselves and it gave them a good feeling that they had done something very nice for someone less fortunate than themselves.	this	made the children feel happy
this-26	made-77	-dep-dep
There was no money to buy any presents at all, um, for the children, and my grandfather, who was killed when my mother was 16, this was, of course, way before that, um, he must have been a very positive person because what he did with the situation was he, he told the children that there were no presents this Christmas because they had given them all to Santa to take the poor children and this made the children feel happy and proud of themselves and it gave them a good feeling that they had done something very nice for someone less fortunate than themselves.	that they had done something very nice for someone less fortunate than themselves	gave them a good feeling
themselves.-105	gave-88	-dep
BILL: - ah, we want you guys to get a little creative - 23 RICH: OK.	you guys to get a little creative	want
guys-7	want-5	-dobj
oh yeah they do they get real emotional about it all the i've worked with a lot of people that hunt and they just they they don't see any sense in it at al	it	get real emotional
it-10	emotional-8	-pobj-prep
one of these people that believes that we should not be able to buy guns but i don't think we should be carrying Uzis either  you know what i mean  yeah i know i mean i don't think machine guns automatic weapons i don't believe in things like that but i think	be able to buy guns	believes that we should not be able to buy guns
able-12	believes-6	-ccomp
one of these people that believes that we should not be able to buy guns but i don't think we should be carrying Uzis either  you know what i mean  yeah i know i mean i don't think machine guns automatic weapons i don't believe in things like that but i think	things like that	don't believe
things-49	believe-47	-pobj-prep
i'm from California  my mom the last time i was like purchased a gun my  my mom was getting a rifle for my brother that he wanted like an antique one  and	a rifle	wanted
rifle-23	wanted-29	-dobj-ccomp
that's true or the ones that are are generated by a computer it's just a computer voice that comes on the line those are the ones that i really really hate too	the ones that are are generated by a computer	really really hate
generated-9	hate-31	-ccomp
what i would love to see done to stop all of this	to stop all of this	what i would love to see done
stop-9	done-7	-xcomp
and wanting to uh you know to try and get me to join or you know become interested in their religion because i have my own	to uh you know to try and get me to join or you know become interested in their religion	wanting
to-3	wanting-2	-prep
and wanting to uh you know to try and get me to join or you know become interested in their religion because i have my own	their religion	interested
religion-21	interested-18	-pobj-prep
now i agree with their right to um	their right	agree
right-6	agree-3	-pobj-prep
yeah yeah no i i agree with you there though i mean they want to choose that particular religion then that's fine with me too you know as long as they don't try and pull me in and drag me in and and i don't like the way that they do it either	the way that they do it either	don't like
way-48	like-46	-pobj
yeah yeah no i i agree with you there though i mean they want to choose that particular religion then that's fine with me too you know as long as they don't try and pull me in and drag me in and and i don't like the way that they do it either	to choose that particular religion	want
choose-16	want-14	-xcomp
yeah yeah no i i agree with you there though i mean they want to choose that particular religion then that's fine with me too you know as long as they don't try and pull me in and drag me in and and i don't like the way that they do it either	there	agree
there-9	agree-6	-advmod-advcl
yeah yeah no i i agree with you there though i mean they want to choose that particular religion then that's fine with me too you know as long as they don't try and pull me in and drag me in and and i don't like the way that they do it either	that's	fine with me too you know as long as they don't try and pull me in and drag me in
that's-21	fine-22	-acomp
and uh i've read a lot about uh that particular sect and i don't particularly care for it so i especially don't like for them to come up to my door and try and talk to me	it	don't particularly care for
it-18	for-17	-pobj
and uh i've read a lot about uh that particular sect and i don't particularly care for it so i especially don't like for them to come up to my door and try and talk to me	them to come up to my door and try and talk to me	especially don't like
come-27	like-23	-advcl
uh-huh uh-huh yeah sometimes i i get them on my uh answering machine at home so and i hate that when i've got a whole bunch of messages and i go through them and most of them aren't from anybody at all	when i've got a whole bunch of messages and i go through them and most of them aren't from anybody at all	hate
go-31	hate-19	-ccomp
uh pretty close to it well i've enjoyed talking with you	talking with you	enjoyed
talking-9	enjoyed-8	-xcomp
i agree with you on that particular subject there	that particular subject there	agree
there-9	agree-2	-advmod
peddling products if i wanted their products i would've either gone to the store to bought it or i would've called for their salesman salesman to come out	their products	wanted
products-7	wanted-5	-dobj
peddling products if i wanted their products i would've either gone to the store to bought it or i would've called for their salesman salesman to come out	for their salesman salesman to come out	called
for-22	called-21	-prep
and i don't know i just um i just don't particularly care for that at all and that that's one thing that i feel really strongly about though is uh you know people coming up to my door especially religious organizations	that	don't particularly care for that at all
that-14	for-13	-pobj
and i don't know i just um i just don't particularly care for that at all and that that's one thing that i feel really strongly about though is uh you know people coming up to my door especially religious organizations	people coming up to my door	feel really strongly about
people-33	about-27	-dobj-ccomp-pcomp
i'm on my turf if i want them there i'll call for them otherwise i don't want to know they exist	them there	want
them-8	want-7	-nsubj-ccomp
i'm on my turf if i want them there i'll call for them otherwise i don't want to know they exist	they	don't want to know they exist
they-20	exist-21	-nsubj
um kind of gets back to the second request we've been asked to look at is most criminal cases requiring an ananimous verdict the a situation like that i'd say no let's just go like a regular vote eight to four tells me that there were eight	to look at	asked
look-14	asked-12	-xcomp
well i haven't really really gotten that far with it um i've always sort of liked General Motors a little bit better than some of the others but uh	some of the others	always sort of liked General Motors a little bit better than some of the others
some-24	than-23	-pobj
so i don't know i'm i'm not ready to buy a new car yet but i don't know if if the next time i'm going to try to	buy a new car	i'm not ready
buy-10	i'm-6	-nsubj
i would sort of like to uh think about something in the way of uh uh sort of a sporty car but not any not you know a luxury type	 think about something in the way of uh uh sort of a sporty car but not any not you know a luxury type	would sort of like
think-8	like-5	-xcomp
okay well enjoyed it bye-bye	it	enjoyed
it-4	enjoyed-3	-nsubj-xcomp
i guess the commercials are getting to me the Toyota commercials and i know that a lot of people i've i've known that have had Toyotas have been just extremely happy with them that hardly had any problems at all	them	have been just extremely happy
them-33	happy-31	-pobj-prep
um and i would sort of like to buy American	to buy American	would sort of like
buy-9	like-7	-xcomp
yeah well yeah i like i like some of those things they come in really handy	some of those things	like i like
some-8	like-7	-pobj
oh you do want a lot of that stuff	a lot of that stuff	do want
lot-6	want-4	-dobj
hope they're telling you	they're telling you	hope
they're-2	hope-1	-dep
oh God  i stay away from them	them	stay away from
them-8	from-7	-pobj
yeah Ninja Turtles got to have those	Ninja Turtles	got to have those
Turtles-3	got-4	-nsubj
of course you have to get there early if you want to get anything	to get anything	want
get-13	want-11	-xcomp
every once in a while i i like to go on the nights when there's not anybody out there not very many people out there it's a lot more fun when you're not fighting a crowd	go on the nights when there's not anybody out there	like
go-10	like-8	-xcomp
and  i go okay i mean you just you did what you  wanted to do	to do	wanted
do-17	wanted-15	-xcomp
yeah they want to see all the horror movies	to see all the horror movies	want
see-5	want-3	-xcomp
i wish i could	i could	wish
could-4	wish-2	-ccomp
yeah i think it's fun i like just looking at the billboards	just looking at the billboards	like
looking-9	like-7	-pcomp
they'll try something and then they throw it out and get something else you know and you get tired of that	that	get tired of
that-21	of-20	-pobj
oh yeah i could go on and on about that	that	could go on and on
that-10	on-6	-pobj-pcomp
yes when i first started teaching i remember i went up to my job and i said okay i want to see a curriculum guide you know so i'll know what i'm suppose to teach and they go	see a curriculum guide	want
see-22	want-20	-xcomp
President Bush has agreed to meet within 90 days with Mr. Barco, President Alan Garcia of Peru and President Jaime Paz Zamora of Bolivia to discuss the drug problem.	to meet within 90 days with Mr. Barco, President Alan Garcia of Peru and President Jaime Paz Zamora of Bolivia	has agreed
meet-6	agreed-4	-xcomp
Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.	U.S. military aid	has accepted
aid.-14	accepted-11	-dobj
Mr. Barco has refused U.S. troops or advisers but has accepted U.S. military aid.	U.S. troops or advisers	has refused
troops-6	refused-4	-dobj
The White House said President Bush has approved duty-free treatment for imports of certain types of watches that aren't produced in "significant quantities" in the U.S., the Virgin Islands and other U.S. possessions.	duty-free treatment for imports of certain types of watches	has approved
treatment-10	approved-8	-dobj
The truck maker said the significant drop in net income will result in lower earnings for the fiscal year.	significant drop	significant drop
drop-7	significant-6	-amod
The plan was filed jointly with unsecured creditors in federal bankruptcy court in New York and must be approved by the court.	The plan	approved
plan-2	approved-19	-nsubjpass-conj
